cat,sample_type,phase,elev_minimum,aspect_average,infiltration_mode,emergence_50,emergence_500,emergence_1k,cent_elev,location,island_size,avg_fetch,viewsize_5k,viewsize_10k
5476,buffer,lm,36.73874664,88.99099884,1,64.33187701,1159.660173,1222.976472,37.04764,mainland,,238.5272993,19605,19605
5477,buffer,lm,27.92354012,264.8722778,2,94.17799193,793.3208943,1121.460855,28.71606,mainland,,180.544305,9590,9735
5478,buffer,lm,40.28726959,89.84935951,3,778.1565955,867.7309081,803.7353569,42.61292,mainland,,94.65929617,4518,4518
5479,buffer,lm,44.15850449,115.734683,4,496.8972501,615.6888903,572.6827992,44.39746,mainland,,44.36006252,5798,6159
5480,buffer,lm,38.68763351,172.7108259,4,373.8482242,291.7089391,451.8703523,40.20043,island,100,51659.23627,300714,1013387
5481,buffer,lm,32.59004974,260.8475739,2,548.5346926,1061.909153,1064.568273,34.38695,mainland,,372.5525983,35208,38426
5482,buffer,lm,33.40631104,187.4484062,2,687.7876001,1285.07926,1356.075176,33.45192,island,791700,37.71796759,1156,1156
5483,buffer,lm,43.30995178,35.52276039,5,472.477456,618.4672908,751.9108684,45.08778,island,40800,1518.611766,150034,314754
5484,buffer,lm,34.23443985,252.5666008,3,213.172891,1239.127897,1118.676342,34.23444,mainland,,367.4711899,29552,35998
5485,buffer,lm,37.54008865,249.9268513,4,314.7010507,1146.902378,1196.584966,37.6387,island,409400,204.2450313,33605,125139
5486,buffer,lm,30.879673,256.7025208,2,15.74116009,255.2078132,454.3302795,30.9324,mainland,,42.82282067,61812,196076
5487,buffer,lm,27.01665688,256.6389427,4,179.5244172,228.5622001,240.4807012,30.59769,island,18800,47978.79702,167673,535525
5488,buffer,lm,43.28484726,75.06931305,2,497.8041484,598.5719389,604.562498,44.55809,mainland,,2312.39731,97591,361479
5489,buffer,lm,24.72801208,263.3336182,4,180.2965921,1609.379547,1591.177746,25.79657,mainland,,247.0889786,20534,20730
5490,buffer,lm,42.17169189,304.4347412,4,491.1479197,897.6439316,878.235817,43.63509,island,267900,4969.731499,323621,822459
5491,buffer,lm,39.55465317,93.88028622,4,523.5001331,861.4106597,893.9726053,39.55465,island,26100,491.6514741,104556,193373
5492,buffer,lm,31.27209473,111.4057102,4,92.94479244,124.6596969,173.3728477,31.57518,island,87100,28298.6118,254614,745478
5493,buffer,lm,27.12081146,320.6667603,3,444.5943922,1466.929091,1360.959284,29.14195,mainland,,98.67091105,10613,10613
5494,buffer,lm,36.79327393,225.564743,4,375.0374944,1198.002347,1185.462256,38.50841,island,390700,1389.654934,149221,288673
5495,buffer,lm,27.21161842,101.1142406,3,938.5028139,1437.709278,1496.794026,29.39406,mainland,,321.5998518,18877,18900
